number,naive,std
100,42.143572621035055,3.621035058430718
200,83.81484570475396,3.663886572143453
300,125.48304613674263,3.7426347971095053
400,167.15047936640266,3.7736556898707794
500,208.81760586862288,3.7875958652884294
600,250.48457904973603,3.8046679633231455
700,292.15146463443676,3.7954274827339844
800,333.8182954782246,3.8014169618670555
900,375.4850898314503,3.8079273939618448
1000,417.1518586431072,3.8111351891981995
1100,458.81860888013335,3.830125776632823
1200,500.4853451868315,3.8259480483400474
1300,542.152070778305,3.8285677650980894
1400,583.8187879509466,3.829384450529825
1500,625.4854983887099,3.8323147016335146
1600,667.1522033545161,3.8246692363787895
1700,708.8189038140994,3.8296891852142365
1800,750.4856005185666,3.8293360496342252
1900,792.1522940608826,3.8339328011229057
2000,833.8189849154096,3.8347362280190014
2100,875.4856734661481,3.82958964997222
2200,917.1523600272748,3.8330934161678916
2300,958.8190448583231,3.8341184143778535
2400,1000.4857281755677,3.8351968886728245
2500,1042.1524101606774,3.8308553903593574
2600,1083.8190909673697,3.831207128662094
2700,1125.485770726588,3.8354836718315943
2800,1167.1524495505685,3.8355259241621527
2900,1208.8191275360653,3.8369446519914936
3000,1250.4858047669316,3.832601811211734
