Number_10,N_10,Naive_10,Std_10,Number_100,N_100,Naive_100,Std_100,Number_1000,N_1000,Naive_1000,Std_1000
10,256,2.4614,2.5319,100,256,6.4794,6.7011,1000,256,0,0
10,304,2.4523,2.5049,100,304,6.5045,6.7077,1000,304,0,0
10,362,2.4452,2.5162,100,362,6.4802,6.6841,1000,362,0,0
10,430,2.4505,2.5159,100,430,6.4769,6.6956,1000,430,0,0
10,512,2.4541,2.5054,100,512,6.4994,6.7317,1000,512,0,0
10,608,2.4396,2.505,100,608,6.4754,6.701,1000,608,0,0
10,724,2.4592,2.5248,100,724,6.4822,6.7118,1000,724,0,0
10,861,2.4258,2.4887,100,861,6.5134,6.7226,1000,861,0,0
10,1024,2.4474,2.4958,100,1024,6.5229,6.7425,1000,1024,11.0098,11.4496
10,1217,2.4723,2.5328,100,1217,6.5277,6.7576,1000,1217,11.0055,11.3961
10,1448,2.4489,2.5112,100,1448,6.5172,6.7234,1000,1448,11.087,11.4666
10,1722,2.437,2.4949,100,1722,6.5671,6.7671,1000,1722,11.0865,11.4644
10,2048,2.4284,2.4913,100,2048,6.511,6.7293,1000,2048,11.2021,11.5211
10,2435,2.4323,2.4904,100,2435,6.5264,6.7541,1000,2435,11.1539,11.5113
10,2896,2.4741,2.5301,100,2896,6.5484,6.78,1000,2896,11.1986,11.5278
10,3444,2.4667,2.5351,100,3444,6.5585,6.7653,1000,3444,11.1935,11.5551
10,4096,2.4366,2.4958,100,4096,6.5087,6.7435,1000,4096,11.2247,11.5412
10,4870,2.4487,2.5098,100,4870,6.5248,6.7508,1000,4870,11.2345,11.5254
10,5792,2.4693,2.5274,100,5792,6.5651,6.7888,1000,5792,11.3103,11.5827
10,6888,2.4477,2.501,100,6888,6.5587,6.793,1000,6888,11.4026,11.5732
10,8192,2.4598,2.511,100,8192,6.5452,6.7713,1000,8192,11.5104,11.6154
10,9741,2.4634,2.5185,100,9741,6.5359,6.7572,1000,9741,11.6524,11.6372
10,11585,2.4572,2.5252,100,11585,6.5914,6.8448,1000,11585,11.4912,11.676
10,13777,2.443,2.4931,100,13777,6.5513,6.7656,1000,13777,11.7199,11.7635
10,16384,2.4757,2.5329,100,16384,6.5906,6.8032,1000,16384,12.0876,11.7951
10,19483,2.4711,2.5164,100,19483,6.5808,6.8122,1000,19483,11.7075,11.8726
10,23170,2.4521,2.5074,100,23170,6.5595,6.8009,1000,23170,11.4722,11.9316
10,27554,2.439,2.4907,100,27554,6.5782,6.8144,1000,27554,11.5241,12.0253
10,32768,2.4538,2.525,100,32768,6.5848,6.7908,1000,32768,11.4978,11.962
10,38967,2.4466,2.5135,100,38967,6.575,6.8018,1000,38967,11.5536,11.996
10,46340,2.4631,2.5157,100,46340,6.586,6.81,1000,46340,11.5787,12.0656
10,55108,2.4732,2.5316,100,55108,6.5876,6.8343,1000,55108,11.753,12.1037
